Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=a33d4172-b921-4b9d-9502-bdcd1d7ea754-247,858,225,223,231,232,243,213,898,0.000%,.24040,0.08,0.29
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=a33d4172-b921-4b9d-9502-bdcd1d7ea754&projectNumber=4321-248,858,227,223,230,231,238,213,2164,0.000%,.24040,0.08,0.30
PLI_User_TC06/api/v1/getusers-246,858,225,223,230,231,239,213,992,0.000%,.24040,0.08,0.27
PLI_User_TC06/api/v1/leadList-251,4,261,243,303,303,303,241,303,0.000%,3.29489,3.15,4.82
PLI_User_TC06/agpi/v1/projectForm-250,4,312,304,334,334,334,304,334,0.000%,3.12989,4.38,4.45
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=e7a07067-5c6e-4c20-a4a0-6409ff5fc5d0-255,858,228,223,230,231,241,213,1340,0.000%,.24044,0.08,0.29
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=e7a07067-5c6e-4c20-a4a0-6409ff5fc5d0&projectNumber=4321-254,858,227,223,230,232,257,213,1907,0.000%,.24044,0.08,0.30
PLI_User_TC06/api/v1/leadList-259,4,252,251,257,257,257,248,257,0.000%,3.33611,3.56,4.88
PLI_User_TC06/api/v1/projectForm-258,4,361,304,433,433,433,303,433,0.000%,2.96296,3.05,4.21
PLI_User_TC06_AssignProjectLeads_Page,858,5464,5375,5556,6076,6981,5131,10889,0.000%,.23980,1.89,6.94
PLI_User_TC07/static/media/icon-loading.0f0a4fde.svg-261,858,452,238,1157,1349,1938,218,2197,0.000%,.24048,0.33,0.17
PLI_User_TC07/api/v1/menuItems?projectNumber=4321&menuId=08c96ee1-9722-4613-8c46-68e0e9205e94-265,858,232,223,231,233,521,213,1507,0.000%,.24048,0.08,0.29
PLI_User_TC07/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-264,858,229,223,230,231,245,213,1481,0.000%,.24048,0.08,0.28
PLI_User_TC07/api/v1/menuItems-266,4,835,725,1004,1004,1004,707,1004,0.000%,1.80261,2.46,2.55
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=d6c4e8d0-ec05-4956-a531-a04a18df3b72-268,858,229,223,230,232,242,212,1533,0.000%,.24053,0.08,0.29
PLI_User_TC07/api/v1/wbsForms-269,4,328,276,474,474,474,259,474,0.000%,2.29621,2.42,3.26
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=2d906856-8f45-454d-a3ad-635844ad0a9c-271,858,227,223,230,232,248,212,1523,0.000%,.24055,0.08,0.29
