Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=d0893b50-7c7c-4ecc-80ed-f9d215897165-299,208,226,227,231,232,233,213,235,0.000%,.05863,0.02,0.07
PLI_User_TC08/api/v1/importManHours-300,1,296,296,296,296,296,296,296,0.000%,3.37838,7.28,4.82
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=abbb3291-148f-423e-8521-9fa5db28c970-302,208,226,227,231,232,236,213,238,0.000%,.05864,0.02,0.07
PLI_User_TC08/api/v1/importManHours-303,1,259,259,259,259,259,259,259,0.000%,3.86100,7.80,5.51
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=e44e405d-2c20-4334-9098-581ec828687b-304,208,233,227,231,232,234,213,1574,0.000%,.05864,0.02,0.07
PLI_User_TC08/api/v1/importManHours-305,1,253,253,253,253,253,253,253,0.000%,3.95257,4.11,5.64
PLI_User_TC08_ManhourBudgets_Page,208,2100,2062,2091,2106,3801,1949,4292,0.000%,.05858,0.19,0.60
PLI_User_TC09/api/v1/workFlow?menuId=d9244c12-f11c-420b-b3d6-b71b00ef41e0&projectNumber=4321-312,208,232,227,231,232,234,213,1521,0.000%,.05865,0.02,0.07
PLI_User_TC09/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-311,208,231,227,231,232,237,213,1167,0.000%,.05865,0.02,0.07
PLI_User_TC09/api/v1/workFlow-313,1,261,261,261,261,261,261,261,0.000%,3.83142,4.59,5.43
PLI_User_TC09_WorkflowRules_Page,208,465,455,463,465,729,427,1735,0.000%,.05864,0.04,0.14
TOTAL,16970,423,228,454,2038,5374,213,10600,0.000%,4.71389,3.71,9.85
